nodes,techs,carriers,timesteps,capacity_factor
netherlands,solar,power,2019-01-11 20:00:00,0.0
netherlands,solar,power,2019-01-11 21:00:00,0.0
netherlands,solar,power,2019-01-11 22:00:00,0.0
netherlands,solar,power,2019-01-11 23:00:00,0.0
netherlands,solar,power,2019-01-12 00:00:00,0.0
netherlands,solar,power,2019-01-12 01:00:00,0.0
netherlands,solar,power,2019-01-12 02:00:00,0.0
netherlands,solar,power,2019-01-12 03:00:00,0.0
netherlands,solar,power,2019-01-12 04:00:00,0.0
netherlands,solar,power,2019-01-12 05:00:00,0.0
netherlands,solar,power,2019-01-12 06:00:00,0.0
netherlands,solar,power,2019-01-12 07:00:00,0.0
netherlands,solar,power,2019-01-12 08:00:00,0.014
netherlands,solar,power,2019-01-12 09:00:00,0.023
netherlands,solar,power,2019-01-12 10:00:00,0.023
netherlands,solar,power,2019-01-12 11:00:00,0.015
netherlands,solar,power,2019-01-12 12:00:00,0.015
netherlands,solar,power,2019-01-12 13:00:00,0.019
netherlands,solar,power,2019-01-12 14:00:00,0.022
netherlands,solar,power,2019-01-12 15:00:00,0.001
netherlands,solar,power,2019-01-12 16:00:00,0.0
netherlands,solar,power,2019-01-12 17:00:00,0.0
netherlands,solar,power,2019-01-12 18:00:00,0.0
netherlands,solar,power,2019-01-12 19:00:00,0.0
netherlands,solar,power,2019-01-12 20:00:00,0.0
netherlands,solar,power,2019-01-12 21:00:00,0.0
netherlands,solar,power,2019-01-12 22:00:00,0.0
netherlands,solar,power,2019-01-12 23:00:00,0.0
netherlands,solar,power,2019-01-13 00:00:00,0.0
netherlands,solar,power,2019-01-13 01:00:00,0.0
netherlands,solar,power,2019-01-13 02:00:00,0.0
netherlands,solar,power,2019-01-13 03:00:00,0.0
netherlands,solar,power,2019-01-13 04:00:00,0.0
netherlands,solar,power,2019-01-13 05:00:00,0.0
netherlands,solar,power,2019-01-13 06:00:00,0.0
netherlands,solar,power,2019-01-13 07:00:00,0.0
netherlands,solar,power,2019-01-13 08:00:00,0.001
netherlands,solar,power,2019-01-13 09:00:00,0.008
netherlands,solar,power,2019-01-13 10:00:00,0.016
netherlands,solar,power,2019-01-13 11:00:00,0.023
netherlands,solar,power,2019-01-13 12:00:00,0.023999999999999997
netherlands,solar,power,2019-01-13 13:00:00,0.022
netherlands,solar,power,2019-01-13 14:00:00,0.011
netherlands,solar,power,2019-01-13 15:00:00,0.0
netherlands,solar,power,2019-01-13 16:00:00,0.0
netherlands,solar,power,2019-01-13 17:00:00,0.0
netherlands,solar,power,2019-01-13 18:00:00,0.0
netherlands,solar,power,2019-01-13 19:00:00,0.0
netherlands,solar,power,2019-01-13 20:00:00,0.0
netherlands,solar,power,2019-01-13 21:00:00,0.0
netherlands,solar,power,2019-01-13 22:00:00,0.0
netherlands,solar,power,2019-01-13 23:00:00,0.0
netherlands,solar,power,2019-01-14 00:00:00,0.0
netherlands,solar,power,2019-01-14 01:00:00,0.0
netherlands,solar,power,2019-01-14 02:00:00,0.0
netherlands,solar,power,2019-01-14 03:00:00,0.0
netherlands,solar,power,2019-01-14 04:00:00,0.0
netherlands,solar,power,2019-01-14 05:00:00,0.0
netherlands,solar,power,2019-01-14 06:00:00,0.0
netherlands,solar,power,2019-01-14 07:00:00,0.0
netherlands,solar,power,2019-01-14 08:00:00,0.039
netherlands,solar,power,2019-01-14 09:00:00,0.134
netherlands,solar,power,2019-01-14 10:00:00,0.236
netherlands,solar,power,2019-01-14 11:00:00,0.282
netherlands,solar,power,2019-01-14 12:00:00,0.256
netherlands,solar,power,2019-01-14 13:00:00,0.168
netherlands,solar,power,2019-01-14 14:00:00,0.073
netherlands,solar,power,2019-01-14 15:00:00,0.005
netherlands,solar,power,2019-01-14 16:00:00,0.0
netherlands,solar,power,2019-01-14 17:00:00,0.0
netherlands,solar,power,2019-01-14 18:00:00,0.0
netherlands,solar,power,2019-01-14 19:00:00,0.0
netherlands,solar,power,2019-01-14 20:00:00,0.0
netherlands,solar,power,2019-01-14 21:00:00,0.0
netherlands,solar,power,2019-01-14 22:00:00,0.0
netherlands,solar,power,2019-01-14 23:00:00,0.0
netherlands,solar,power,2019-01-15 00:00:00,0.0
netherlands,solar,power,2019-01-15 01:00:00,0.0
netherlands,solar,power,2019-01-15 02:00:00,0.0
netherlands,solar,power,2019-01-15 03:00:00,0.0
netherlands,solar,power,2019-01-15 04:00:00,0.0
netherlands,solar,power,2019-01-15 05:00:00,0.0
netherlands,solar,power,2019-01-15 06:00:00,0.0
netherlands,solar,power,2019-01-15 07:00:00,0.0
netherlands,solar,power,2019-01-15 08:00:00,0.016
netherlands,solar,power,2019-01-15 09:00:00,0.055
netherlands,solar,power,2019-01-15 10:00:00,0.106
netherlands,solar,power,2019-01-15 11:00:00,0.134
netherlands,solar,power,2019-01-15 12:00:00,0.101
netherlands,solar,power,2019-01-15 13:00:00,0.053
netherlands,solar,power,2019-01-15 14:00:00,0.015
netherlands,solar,power,2019-01-15 15:00:00,0.0
netherlands,solar,power,2019-01-15 16:00:00,0.0
netherlands,solar,power,2019-01-15 17:00:00,0.0
netherlands,solar,power,2019-01-15 18:00:00,0.0
netherlands,solar,power,2019-01-15 19:00:00,0.0
netherlands,solar,power,2019-01-15 20:00:00,0.0
netherlands,solar,power,2019-01-15 21:00:00,0.0
netherlands,solar,power,2019-01-15 22:00:00,0.0
netherlands,solar,power,2019-01-15 23:00:00,0.0
netherlands,solar,power,2019-01-16 00:00:00,0.0
netherlands,solar,power,2019-01-16 01:00:00,0.0
netherlands,solar,power,2019-01-16 02:00:00,0.0
netherlands,solar,power,2019-01-16 03:00:00,0.0
netherlands,solar,power,2019-01-16 04:00:00,0.0
netherlands,solar,power,2019-01-16 05:00:00,0.0
netherlands,solar,power,2019-01-16 06:00:00,0.0
netherlands,solar,power,2019-01-16 07:00:00,0.0
netherlands,solar,power,2019-01-16 08:00:00,0.004
netherlands,solar,power,2019-01-16 09:00:00,0.025000000000000005
netherlands,solar,power,2019-01-16 10:00:00,0.043
netherlands,solar,power,2019-01-16 11:00:00,0.052
netherlands,solar,power,2019-01-16 12:00:00,0.044
netherlands,solar,power,2019-01-16 13:00:00,0.027
netherlands,solar,power,2019-01-16 14:00:00,0.009
netherlands,solar,power,2019-01-16 15:00:00,0.0
netherlands,solar,power,2019-01-16 16:00:00,0.0
netherlands,solar,power,2019-01-16 17:00:00,0.0
netherlands,solar,power,2019-01-16 18:00:00,0.0
netherlands,solar,power,2019-01-16 19:00:00,0.0
netherlands,solar,power,2019-01-16 20:00:00,0.0
netherlands,solar,power,2019-01-16 21:00:00,0.0
netherlands,solar,power,2019-01-16 22:00:00,0.0
netherlands,solar,power,2019-01-16 23:00:00,0.0
netherlands,solar,power,2019-01-17 00:00:00,0.0
netherlands,solar,power,2019-01-17 01:00:00,0.0
netherlands,solar,power,2019-01-17 02:00:00,0.0
netherlands,solar,power,2019-01-17 03:00:00,0.0
netherlands,solar,power,2019-01-17 04:00:00,0.0
netherlands,solar,power,2019-01-17 05:00:00,0.0
netherlands,solar,power,2019-01-17 06:00:00,0.0
netherlands,solar,power,2019-01-17 07:00:00,0.0
netherlands,solar,power,2019-01-17 08:00:00,0.008
netherlands,solar,power,2019-01-17 09:00:00,0.027
netherlands,solar,power,2019-01-17 10:00:00,0.07
netherlands,solar,power,2019-01-17 11:00:00,0.101
netherlands,solar,power,2019-01-17 12:00:00,0.106
netherlands,solar,power,2019-01-17 13:00:00,0.088
netherlands,solar,power,2019-01-17 14:00:00,0.042
netherlands,solar,power,2019-01-17 15:00:00,0.002
netherlands,solar,power,2019-01-17 16:00:00,0.0
netherlands,solar,power,2019-01-17 17:00:00,0.0
netherlands,solar,power,2019-01-17 18:00:00,0.0
netherlands,solar,power,2019-01-17 19:00:00,0.0
netherlands,solar,power,2019-01-17 20:00:00,0.0
netherlands,solar,power,2019-01-17 21:00:00,0.0
netherlands,solar,power,2019-01-17 22:00:00,0.0
netherlands,solar,power,2019-01-17 23:00:00,0.0
netherlands,solar,power,2019-01-18 00:00:00,0.0
netherlands,solar,power,2019-01-18 01:00:00,0.0
netherlands,solar,power,2019-01-18 02:00:00,0.0
netherlands,solar,power,2019-01-18 03:00:00,0.0
netherlands,solar,power,2019-01-18 04:00:00,0.0
netherlands,solar,power,2019-01-18 05:00:00,0.0
netherlands,solar,power,2019-01-18 06:00:00,0.0
netherlands,solar,power,2019-01-18 07:00:00,0.005999999999999999
netherlands,solar,power,2019-01-18 08:00:00,0.132
netherlands,solar,power,2019-01-18 09:00:00,0.23
netherlands,solar,power,2019-01-18 10:00:00,0.291
netherlands,solar,power,2019-01-18 11:00:00,0.31099999999999994
netherlands,solar,power,2019-01-18 12:00:00,0.281
netherlands,solar,power,2019-01-18 13:00:00,0.202
netherlands,solar,power,2019-01-18 14:00:00,0.089
netherlands,solar,power,2019-01-18 15:00:00,0.008
netherlands,solar,power,2019-01-18 16:00:00,0.0
netherlands,solar,power,2019-01-18 17:00:00,0.0
netherlands,solar,power,2019-01-18 18:00:00,0.0
netherlands,solar,power,2019-01-18 19:00:00,0.0
netherlands,solar,power,2019-01-18 20:00:00,0.0
netherlands,solar,power,2019-01-18 21:00:00,0.0
netherlands,solar,power,2019-01-18 22:00:00,0.0
netherlands,solar,power,2019-01-18 23:00:00,0.0
netherlands,solar,power,2019-01-19 00:00:00,0.0
netherlands,solar,power,2019-01-19 01:00:00,0.0
netherlands,solar,power,2019-01-19 02:00:00,0.0
netherlands,solar,power,2019-01-19 03:00:00,0.0
netherlands,solar,power,2019-01-19 04:00:00,0.0
netherlands,solar,power,2019-01-19 05:00:00,0.0
netherlands,solar,power,2019-01-19 06:00:00,0.0
netherlands,solar,power,2019-01-19 07:00:00,0.002
netherlands,solar,power,2019-01-19 08:00:00,0.099
netherlands,solar,power,2019-01-19 09:00:00,0.243
netherlands,solar,power,2019-01-19 10:00:00,0.353
netherlands,solar,power,2019-01-19 11:00:00,0.396
netherlands,solar,power,2019-01-19 12:00:00,0.37099999999999994
netherlands,solar,power,2019-01-19 13:00:00,0.288
netherlands,solar,power,2019-01-19 14:00:00,0.151
netherlands,solar,power,2019-01-19 15:00:00,0.022
netherlands,solar,power,2019-01-19 16:00:00,0.0
netherlands,solar,power,2019-01-19 17:00:00,0.0
netherlands,solar,power,2019-01-19 18:00:00,0.0
netherlands,solar,power,2019-01-19 19:00:00,0.0
netherlands,solar,power,2019-01-19 20:00:00,0.0
netherlands,solar,power,2019-01-19 21:00:00,0.0
netherlands,solar,power,2019-01-19 22:00:00,0.0
netherlands,solar,power,2019-01-19 23:00:00,0.0
netherlands,solar,power,2019-01-20 00:00:00,0.0
netherlands,solar,power,2019-01-20 01:00:00,0.0
netherlands,solar,power,2019-01-20 02:00:00,0.0
netherlands,solar,power,2019-01-20 03:00:00,0.0
netherlands,solar,power,2019-01-20 04:00:00,0.0
netherlands,solar,power,2019-01-20 05:00:00,0.0
netherlands,solar,power,2019-01-20 06:00:00,0.0
netherlands,solar,power,2019-01-20 07:00:00,0.011
netherlands,solar,power,2019-01-20 08:00:00,0.215
netherlands,solar,power,2019-01-20 09:00:00,0.395
netherlands,solar,power,2019-01-20 10:00:00,0.48300000000000004
netherlands,solar,power,2019-01-20 11:00:00,0.503
netherlands,solar,power,2019-01-20 12:00:00,0.463
netherlands,solar,power,2019-01-20 13:00:00,0.364
netherlands,solar,power,2019-01-20 14:00:00,0.206
netherlands,solar,power,2019-01-20 15:00:00,0.038
netherlands,solar,power,2019-01-20 16:00:00,0.0
netherlands,solar,power,2019-01-20 17:00:00,0.0
netherlands,solar,power,2019-01-20 18:00:00,0.0
netherlands,solar,power,2019-01-20 19:00:00,0.0
netherlands,solar,power,2019-01-20 20:00:00,0.0
netherlands,solar,power,2019-01-20 21:00:00,0.0
netherlands,solar,power,2019-01-20 22:00:00,0.0
netherlands,solar,power,2019-01-20 23:00:00,0.0
netherlands,solar,power,2019-01-21 00:00:00,0.0
netherlands,solar,power,2019-01-21 01:00:00,0.0
netherlands,solar,power,2019-01-21 02:00:00,0.0
netherlands,solar,power,2019-01-21 03:00:00,0.0
netherlands,solar,power,2019-01-21 04:00:00,0.0
netherlands,solar,power,2019-01-21 05:00:00,0.0
netherlands,solar,power,2019-01-21 06:00:00,0.0
netherlands,solar,power,2019-01-21 07:00:00,0.011999999999999999
netherlands,solar,power,2019-01-21 08:00:00,0.213
netherlands,solar,power,2019-01-21 09:00:00,0.355
netherlands,solar,power,2019-01-21 10:00:00,0.412
netherlands,solar,power,2019-01-21 11:00:00,0.415
netherlands,solar,power,2019-01-21 12:00:00,0.372
netherlands,solar,power,2019-01-21 13:00:00,0.273
netherlands,solar,power,2019-01-21 14:00:00,0.144
netherlands,solar,power,2019-01-21 15:00:00,0.023
netherlands,solar,power,2019-01-21 16:00:00,0.0
netherlands,solar,power,2019-01-21 17:00:00,0.0
netherlands,solar,power,2019-01-21 18:00:00,0.0
netherlands,solar,power,2019-01-21 19:00:00,0.0
netherlands,solar,power,2019-01-21 20:00:00,0.0
netherlands,solar,power,2019-01-21 21:00:00,0.0
netherlands,solar,power,2019-01-21 22:00:00,0.0
netherlands,solar,power,2019-01-21 23:00:00,0.0
netherlands,solar,power,2019-01-22 00:00:00,0.0
netherlands,solar,power,2019-01-22 01:00:00,0.0
netherlands,solar,power,2019-01-22 02:00:00,0.0
netherlands,solar,power,2019-01-22 03:00:00,0.0
netherlands,solar,power,2019-01-22 04:00:00,0.0
netherlands,solar,power,2019-01-22 05:00:00,0.0
netherlands,solar,power,2019-01-22 06:00:00,0.0
netherlands,solar,power,2019-01-22 07:00:00,0.001
netherlands,solar,power,2019-01-22 08:00:00,0.025000000000000005
netherlands,solar,power,2019-01-22 09:00:00,0.056
netherlands,solar,power,2019-01-22 10:00:00,0.08
netherlands,solar,power,2019-01-22 11:00:00,0.084
netherlands,solar,power,2019-01-22 12:00:00,0.066
netherlands,solar,power,2019-01-22 13:00:00,0.038
netherlands,solar,power,2019-01-22 14:00:00,0.013
netherlands,solar,power,2019-01-22 15:00:00,0.0
netherlands,solar,power,2019-01-22 16:00:00,0.0
netherlands,solar,power,2019-01-22 17:00:00,0.0
netherlands,solar,power,2019-01-22 18:00:00,0.0
netherlands,solar,power,2019-01-22 19:00:00,0.0
netherlands,solar,power,2019-01-22 20:00:00,0.0
netherlands,solar,power,2019-01-22 21:00:00,0.0
netherlands,solar,power,2019-01-22 22:00:00,0.0
netherlands,solar,power,2019-01-22 23:00:00,0.0
netherlands,solar,power,2019-01-23 00:00:00,0.0
netherlands,solar,power,2019-01-23 01:00:00,0.0
netherlands,solar,power,2019-01-23 02:00:00,0.0
netherlands,solar,power,2019-01-23 03:00:00,0.0
netherlands,solar,power,2019-01-23 04:00:00,0.0
netherlands,solar,power,2019-01-23 05:00:00,0.0
netherlands,solar,power,2019-01-23 06:00:00,0.0
netherlands,solar,power,2019-01-23 07:00:00,0.002
netherlands,solar,power,2019-01-23 08:00:00,0.052
netherlands,solar,power,2019-01-23 09:00:00,0.122
netherlands,solar,power,2019-01-23 10:00:00,0.203
netherlands,solar,power,2019-01-23 11:00:00,0.252
netherlands,solar,power,2019-01-23 12:00:00,0.227
netherlands,solar,power,2019-01-23 13:00:00,0.16
netherlands,solar,power,2019-01-23 14:00:00,0.079
netherlands,solar,power,2019-01-23 15:00:00,0.01
netherlands,solar,power,2019-01-23 16:00:00,0.0
netherlands,solar,power,2019-01-23 17:00:00,0.0
netherlands,solar,power,2019-01-23 18:00:00,0.0
netherlands,solar,power,2019-01-23 19:00:00,0.0
netherlands,solar,power,2019-01-23 20:00:00,0.0
netherlands,solar,power,2019-01-23 21:00:00,0.0
netherlands,solar,power,2019-01-23 22:00:00,0.0
netherlands,solar,power,2019-01-23 23:00:00,0.0
netherlands,solar,power,2019-01-24 00:00:00,0.0
netherlands,solar,power,2019-01-24 01:00:00,0.0
netherlands,solar,power,2019-01-24 02:00:00,0.0
netherlands,solar,power,2019-01-24 03:00:00,0.0
netherlands,solar,power,2019-01-24 04:00:00,0.0
netherlands,solar,power,2019-01-24 05:00:00,0.0
netherlands,solar,power,2019-01-24 06:00:00,0.0
netherlands,solar,power,2019-01-24 07:00:00,0.005
netherlands,solar,power,2019-01-24 08:00:00,0.092
netherlands,solar,power,2019-01-24 09:00:00,0.206
netherlands,solar,power,2019-01-24 10:00:00,0.3
netherlands,solar,power,2019-01-24 11:00:00,0.32700000000000007
netherlands,solar,power,2019-01-24 12:00:00,0.313
netherlands,solar,power,2019-01-24 13:00:00,0.236
netherlands,solar,power,2019-01-24 14:00:00,0.126
netherlands,solar,power,2019-01-24 15:00:00,0.018
netherlands,solar,power,2019-01-24 16:00:00,0.0
netherlands,solar,power,2019-01-24 17:00:00,0.0
netherlands,solar,power,2019-01-24 18:00:00,0.0
netherlands,solar,power,2019-01-24 19:00:00,0.0
netherlands,solar,power,2019-01-24 20:00:00,0.0
netherlands,solar,power,2019-01-24 21:00:00,0.0
netherlands,solar,power,2019-01-24 22:00:00,0.0
netherlands,solar,power,2019-01-24 23:00:00,0.0
netherlands,solar,power,2019-01-25 00:00:00,0.0
netherlands,solar,power,2019-01-25 01:00:00,0.0
netherlands,solar,power,2019-01-25 02:00:00,0.0
netherlands,solar,power,2019-01-25 03:00:00,0.0
netherlands,solar,power,2019-01-25 04:00:00,0.0
netherlands,solar,power,2019-01-25 05:00:00,0.0
netherlands,solar,power,2019-01-25 06:00:00,0.0
netherlands,solar,power,2019-01-25 07:00:00,0.005999999999999999
netherlands,solar,power,2019-01-25 08:00:00,0.067
netherlands,solar,power,2019-01-25 09:00:00,0.08299999999999999
netherlands,solar,power,2019-01-25 10:00:00,0.084
netherlands,solar,power,2019-01-25 11:00:00,0.095
netherlands,solar,power,2019-01-25 12:00:00,0.084
netherlands,solar,power,2019-01-25 13:00:00,0.047
netherlands,solar,power,2019-01-25 14:00:00,0.016
netherlands,solar,power,2019-01-25 15:00:00,0.001
netherlands,solar,power,2019-01-25 16:00:00,0.0
netherlands,solar,power,2019-01-25 17:00:00,0.0
netherlands,solar,power,2019-01-25 18:00:00,0.0
netherlands,solar,power,2019-01-25 19:00:00,0.0
netherlands,solar,power,2019-01-25 20:00:00,0.0
netherlands,solar,power,2019-01-25 21:00:00,0.0
netherlands,solar,power,2019-01-25 22:00:00,0.0
netherlands,solar,power,2019-01-25 23:00:00,0.0
netherlands,solar,power,2019-01-26 00:00:00,0.0
netherlands,solar,power,2019-01-26 01:00:00,0.0
netherlands,solar,power,2019-01-26 02:00:00,0.0
netherlands,solar,power,2019-01-26 03:00:00,0.0
netherlands,solar,power,2019-01-26 04:00:00,0.0
netherlands,solar,power,2019-01-26 05:00:00,0.0
netherlands,solar,power,2019-01-26 06:00:00,0.0
netherlands,solar,power,2019-01-26 07:00:00,0.0
netherlands,solar,power,2019-01-26 08:00:00,0.011999999999999999
netherlands,solar,power,2019-01-26 09:00:00,0.037
netherlands,solar,power,2019-01-26 10:00:00,0.06
netherlands,solar,power,2019-01-26 11:00:00,0.078
netherlands,solar,power,2019-01-26 12:00:00,0.095
netherlands,solar,power,2019-01-26 13:00:00,0.082
netherlands,solar,power,2019-01-26 14:00:00,0.035
netherlands,solar,power,2019-01-26 15:00:00,0.0029999999999999996
netherlands,solar,power,2019-01-26 16:00:00,0.0
netherlands,solar,power,2019-01-26 17:00:00,0.0
netherlands,solar,power,2019-01-26 18:00:00,0.0
netherlands,solar,power,2019-01-26 19:00:00,0.0
netherlands,solar,power,2019-01-26 20:00:00,0.0
netherlands,solar,power,2019-01-26 21:00:00,0.0
netherlands,solar,power,2019-01-26 22:00:00,0.0
netherlands,solar,power,2019-01-26 23:00:00,0.0
netherlands,solar,power,2019-01-27 00:00:00,0.0
netherlands,solar,power,2019-01-27 01:00:00,0.0
netherlands,solar,power,2019-01-27 02:00:00,0.0
netherlands,solar,power,2019-01-27 03:00:00,0.0
netherlands,solar,power,2019-01-27 04:00:00,0.0
netherlands,solar,power,2019-01-27 05:00:00,0.0
netherlands,solar,power,2019-01-27 06:00:00,0.0
netherlands,solar,power,2019-01-27 07:00:00,0.0
netherlands,solar,power,2019-01-27 08:00:00,0.01
netherlands,solar,power,2019-01-27 09:00:00,0.025000000000000005
netherlands,solar,power,2019-01-27 10:00:00,0.03
netherlands,solar,power,2019-01-27 11:00:00,0.041
netherlands,solar,power,2019-01-27 12:00:00,0.047
netherlands,solar,power,2019-01-27 13:00:00,0.04
netherlands,solar,power,2019-01-27 14:00:00,0.025000000000000005
netherlands,solar,power,2019-01-27 15:00:00,0.004
netherlands,solar,power,2019-01-27 16:00:00,0.0
netherlands,solar,power,2019-01-27 17:00:00,0.0
netherlands,solar,power,2019-01-27 18:00:00,0.0
netherlands,solar,power,2019-01-27 19:00:00,0.0
netherlands,solar,power,2019-01-27 20:00:00,0.0
netherlands,solar,power,2019-01-27 21:00:00,0.0
netherlands,solar,power,2019-01-27 22:00:00,0.0
netherlands,solar,power,2019-01-27 23:00:00,0.0
netherlands,solar,power,2019-01-28 00:00:00,0.0
netherlands,solar,power,2019-01-28 01:00:00,0.0
netherlands,solar,power,2019-01-28 02:00:00,0.0
netherlands,solar,power,2019-01-28 03:00:00,0.0
netherlands,solar,power,2019-01-28 04:00:00,0.0
netherlands,solar,power,2019-01-28 05:00:00,0.0
netherlands,solar,power,2019-01-28 06:00:00,0.0
netherlands,solar,power,2019-01-28 07:00:00,0.0
netherlands,solar,power,2019-01-28 08:00:00,0.027
netherlands,solar,power,2019-01-28 09:00:00,0.056
netherlands,solar,power,2019-01-28 10:00:00,0.075
netherlands,solar,power,2019-01-28 11:00:00,0.078
